school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,median,mean,year
Texas A&M,SEC,,,,20.0,25.0,24.0,19.0,19.0,17.0,14.0,8.0,5.0,8.0,13.0,24.0,21.0,18.0,17.0,15.0,12.0,,17.0,16.444444444444443,2016
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,,,2016
UConn,AAC,24.0,24.0,21.0,,,,,,24.0,,,,,,,,,,,,,24.0,23.4,2016
UNC,ACC,1.0,1.0,8.0,9.0,3.0,11.0,7.0,8.0,7.0,5.0,2.0,1.0,1.0,8.0,4.0,6.0,8.0,7.0,3.0,2.0,,5.5,5.119047619047619,2016
USC,Pac-12,,,,,,,,,,,25.0,,,23.0,,,,,,,,24.0,24.0,2016
Utah,Pac-12,16.0,16.0,,,24.0,,,22.0,,,,,,,,23.0,13.0,12.0,13.0,20.0,,16.0,17.5,2016
Vanderbilt,SEC,20.0,17.0,16.0,13.0,16.0,23.0,25.0,,,,,,,,,,,,,,,17.0,18.375,2016
Villanova,Big East,9.0,8.0,9.0,7.0,6.0,13.0,17.0,16.0,13.0,7.0,4.0,6.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,,6.0,6.619047619047619,2016
Virginia,ACC,6.0,6.0,12.0,10.0,10.0,9.0,5.0,5.0,4.0,11.0,13.0,12.0,9.0,7.0,8.0,3.0,4.0,4.0,5.0,5.0,,6.5,7.357142857142857,2016
West Virginia,Big 12,23.0,22.0,22.0,15.0,14.0,16.0,18.0,17.0,15.0,10.0,7.0,9.0,12.0,10.0,11.0,12.0,9.0,8.0,8.0,14.0,,13.0,13.571428571428571,2016
Wichita State,MVC,12.0,11.0,20.0,,,,,,,,,25.0,22.0,24.0,,,23.0,,,,,22.0,19.875,2016
Wisconsin,Big Ten,17.0,,,,,,,,,,,,,,,,,25.0,,23.0,,23.0,22.0,2016
Xavier,Big East,,,,18.0,13.0,10.0,6.0,6.0,12.0,8.0,6.0,8.0,5.0,4.0,7.0,5.0,5.0,5.0,9.0,10.0,,7.0,8.0,2016
Arizona,Pac-12,11.0,9.0,9.0,15.0,20.0,19.0,18.0,18.0,17.0,16.0,13.0,9.0,5.0,10.0,6.0,4.0,8.0,7.0,4.0,7.0,,9.5,11.166666666666666,2017
Baylor,Big 12,,,,11.0,6.0,5.0,6.0,4.0,3.0,1.0,6.0,5.0,3.0,8.0,4.0,9.0,11.0,10.0,11.0,12.0,,6.0,6.722222222222222,2017
Butler,Big East,,,,18.0,15.0,18.0,13.0,13.0,18.0,13.0,14.0,11.0,15.0,21.0,25.0,22.0,15.0,20.0,24.0,19.0,,18.0,17.333333333333332,2017
California,Pac-12,,,,,,,,,,,,,,,,,,,,,,,,2017
Cincinnati,AAC,25.0,25.0,,,23.0,24.0,23.0,23.0,22.0,22.0,20.0,19.0,14.0,11.0,17.0,16.0,20.0,18.0,16.0,22.0,,21.0,20.05263157894737,2017
Creighton,Big East,23.0,20.0,18.0,12.0,10.0,10.0,9.0,9.0,10.0,8.0,7.0,16.0,22.0,23.0,22.0,23.0,,,,,,14.0,15.058823529411764,2017
Duke,ACC,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,7.0,18.0,17.0,21.0,19.0,14.0,11.0,14.0,14.0,7.0,13.0,,7.5,9.357142857142858,2017
Florida,SEC,,,,,21.0,,,,24.0,23.0,21.0,25.0,23.0,17.0,13.0,12.0,12.0,13.0,17.0,10.0,,17.0,17.714285714285715,2017
Florida State,ACC,,,,,,23.0,22.0,20.0,13.0,10.0,12.0,8.0,16.0,15.0,18.0,20.0,17.0,17.0,18.0,24.0,,17.0,16.875,2017
Gonzaga,WCC,13.0,14.0,11.0,8.0,8.0,8.0,7.0,6.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,,4.0,5.285714285714286,2017
Indiana,Big Ten,12.0,5.0,5.0,10.0,9.0,9.0,16.0,16.0,25.0,,,,,,,,,,,,,10.0,11.7,2017
Iowa State,Big 12,,23.0,22.0,21.0,25.0,,,,,,,,,,,,24.0,24.0,20.0,25.0,,23.5,23.05555555555556,2017
Kansas,Big 12,2.0,8.0,6.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,,3.0,2.9047619047619047,2017
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,,,2017
Kentucky,SEC,4.0,2.0,1.0,1.0,7.0,7.0,5.0,8.0,6.0,6.0,5.0,4.0,6.0,12.0,11.0,10.0,9.0,8.0,5.0,5.0,,6.0,6.095238095238095,2017
Louisville,ACC,14.0,12.0,10.0,14.0,13.0,11.0,11.0,7.0,9.0,15.0,11.0,14.0,7.0,4.0,7.0,6.0,7.0,9.0,10.0,14.0,,10.5,10.261904761904765,2017
Maryland,Big Ten,21.0,24.0,23.0,22.0,,,,,,,25.0,23.0,17.0,22.0,24.0,24.0,,,,,,23.0,22.545454545454547,2017
Miami (FL),ACC,,,,,,,,,,,,,,,,,25.0,,,,,25.0,25.0,2017
Michigan,Big Ten,,,24.0,,,,,,,,,,,,,,,,,17.0,,20.5,20.5,2017
Michigan State,Big Ten,9.0,13.0,20.0,,,,,,,,,,,,,,,,,,,13.0,13.75,2017
Middle Tennessee,CUSA,,,,,,,,,,,,,,,,,,25.0,25.0,,,25.0,25.0,2017
Minnesota,Big Ten,,,,,,,,,,24.0,,,,,,,,,,,,24.0,24.0,2017
Northwestern,Big Ten,,,,,,,,,,,,,,,,,,,,,,,,2017
Notre Dame,ACC,,,,,22.0,21.0,24.0,24.0,21.0,20.0,15.0,12.0,18.0,24.0,20.0,17.0,13.0,16.0,14.0,20.0,,20.0,18.88235294117647,2017
Oregon,Pac-12,5.0,4.0,12.0,20.0,24.0,22.0,21.0,21.0,14.0,11.0,10.0,10.0,13.0,6.0,8.0,7.0,6.0,5.0,9.0,3.0,,10.0,11.476190476190476,2017
Purdue,Big Ten,15.0,15.0,19.0,16.0,19.0,16.0,15.0,15.0,20.0,19.0,22.0,20.0,24.0,18.0,16.0,14.0,16.0,12.0,15.0,15.0,,16.0,17.0,2017
Rhode Island,A-10,24.0,22.0,25.0,25.0,,,,,,,,,,,,,,,,,,24.5,24.1,2017
SMU,AAC,,,,,,,,,,,,,,,23.0,21.0,19.0,15.0,13.0,23.0,,20.0,19.142857142857142,2017
Saint Mary's,WCC,19.0,17.0,15.0,13.0,11.0,20.0,19.0,19.0,19.0,21.0,23.0,21.0,19.0,20.0,21.0,18.0,18.0,19.0,21.0,,,19.0,18.6,2017
South Carolina,SEC,,,,23.0,18.0,15.0,20.0,25.0,,,24.0,24.0,20.0,16.0,19.0,,,,,6.0,,20.0,19.166666666666668,2017
Syracuse,ACC,17.0,18.0,16.0,24.0,,,,,,,,,,,,,,,,,,17.5,18.5,2017
Texas,Big 12,22.0,21.0,21.0,,,,,,,,,,,,,,,,,,,21.0,21.25,2017
UCLA,Pac-12,20.0,16.0,13.0,9.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,7.0,8.0,9.0,5.0,5.0,2.0,2.0,6.0,9.0,,5.0,6.476190476190476,2017
UConn,AAC,16.0,,,,,,,,,,,,,,,,,,,,,16.0,16.0,2017
UNC,ACC,6.0,6.0,4.0,3.0,5.0,6.0,8.0,10.0,16.0,12.0,9.0,6.0,10.0,7.0,9.0,8.0,5.0,6.0,8.0,1.0,,6.5,7.214285714285714,2017
USC,Pac-12,,,,,,25.0,25.0,22.0,,25.0,,,,,,,,,,,,25.0,24.4,2017
Villanova,Big East,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,,2.0,2.238095238095238,2017
Virginia,ACC,7.0,7.0,6.0,6.0,12.0,12.0,10.0,11.0,12.0,18.0,16.0,13.0,11.0,13.0,15.0,19.0,23.0,21.0,23.0,,,12.0,13.35,2017
Virginia Tech,ACC,,,,,,,,,23.0,,,,,,,,,,,,,23.0,23.0,2017
West Virginia,Big 12,18.0,19.0,17.0,19.0,16.0,13.0,12.0,12.0,7.0,9.0,8.0,18.0,12.0,14.0,12.0,13.0,10.0,11.0,12.0,11.0,,12.0,13.095238095238097,2017
Wichita State,MVC,,,,,,,,,,,,,,,,25.0,22.0,22.0,19.0,21.0,,22.0,21.83333333333333,2017
Wisconsin,Big Ten,10.0,11.0,14.0,17.0,17.0,14.0,14.0,14.0,11.0,17.0,17.0,15.0,9.0,5.0,10.0,15.0,21.0,23.0,22.0,16.0,,14.5,14.595238095238097,2017
Xavier,Big East,8.0,10.0,8.0,7.0,14.0,17.0,17.0,17.0,15.0,14.0,19.0,22.0,25.0,25.0,,,,,,18.0,,17.0,15.8125,2017
Alabama,SEC,25.0,,,,,,,,,,,,,,,,,,,,,25.0,25.0,2018
Arizona,Pac-12,5.0,,4.0,,,23.0,19.0,18.0,16.0,21.0,17.0,12.0,9.0,13.0,19.0,14.0,22.0,17.0,,,,17.0,15.375,2018
Arizona State,Pac-12,,,,21.0,17.0,6.0,4.0,4.0,6.0,11.0,14.0,20.0,23.0,,22.0,25.0,,,,,,15.5,14.5,2018
Arkansas,SEC,,,,,,,,,23.0,,,,,,,,,,,,,23.0,23.0,2018
Auburn,SEC,,,,,,,,,,24.0,20.0,19.0,13.0,9.0,11.0,13.0,15.0,15.0,23.0,,,15.0,16.09090909090909,2018
Baylor,Big 12,24.0,,24.0,16.0,22.0,21.0,18.0,17.0,,,,,,,,,,,,,,21.0,20.375,2018
Cincinnati,AAC,13.0,,13.0,9.0,17.0,,23.0,22.0,20.0,13.0,11.0,8.0,8.0,6.0,5.0,11.0,10.0,8.0,12.0,,,11.0,12.22222222222222,2018
Clemson,ACC,,,,,,,,,25.0,17.0,18.0,17.0,20.0,15.0,12.0,17.0,18.0,20.0,15.0,,,17.0,17.583333333333332,2018
Creighton,Big East,,,,23.0,,25.0,24.0,23.0,24.0,22.0,,,,,25.0,,24.0,,,,,24.0,23.77777777777778,2018
Duke,ACC,1.0,,1.0,1.0,1.0,4.0,3.0,3.0,2.0,6.0,5.0,4.0,5.0,8.0,10.0,5.0,3.0,4.0,4.0,,,4.0,3.8947368421052633,2018
Florida,SEC,7.0,,7.0,6.0,5.0,22.0,,,,,,22.0,24.0,,,,,23.0,,,,14.5,14.5,2018
Florida State,ACC,,,,,,19.0,25.0,25.0,,,,,,,,,,,18.0,,,22.0,21.8,2018
Gonzaga,WCC,19.0,,17.0,14.0,13.0,13.0,15.0,19.0,19.0,14.0,13.0,15.0,12.0,11.0,8.0,6.0,7.0,6.0,10.0,,,13.0,12.842105263157896,2018
Houston,AAC,,,,,,,,,,,,,,,,23.0,,21.0,22.0,,,22.0,22.0,2018
Kansas,Big 12,3.0,,2.0,2.0,2.0,12.0,13.0,11.0,10.0,12.0,10.0,5.0,7.0,10.0,13.0,8.0,6.0,9.0,3.0,,,8.5,7.7105263157894735,2018
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,19.0,,,19.0,19.0,2018
Kentucky,SEC,4.0,,8.0,7.0,7.0,5.0,6.0,15.0,14.0,20.0,16.0,,22.0,24.0,,,25.0,,17.0,,,14.5,13.633333333333333,2018
Louisville,ACC,16.0,,18.0,17.0,,,,,,,,,,,,,,,,,,17.0,17.0,2018
Loyola (IL),MVC,,,,,,,,,,,,,,,,,,,7.0,,,7.0,7.0,2018
Miami (FL),ACC,12.0,,11.0,13.0,11.0,8.0,7.0,16.0,17.0,19.0,23.0,24.0,,25.0,,,,25.0,,,,16.0,16.214285714285715,2018
Michigan,Big Ten,,,,,,,,,,,24.0,25.0,25.0,20.0,21.0,16.0,13.0,7.0,2.0,,,20.0,17.3,2018
Michigan State,Big Ten,2.0,,5.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,9.0,6.0,4.0,4.0,1.0,1.0,2.0,5.0,11.0,,,3.0,3.684210526315789,2018
Middle Tennessee,CUSA,,,,,,,,,,,,,,,,24.0,23.0,,,,,23.5,23.5,2018
Minnesota,Big Ten,15.0,,15.0,12.0,15.0,,,,,,,,,,,,,,,,,15.0,14.4,2018
Nevada,MWC,,,,,24.0,,,,,,,,,23.0,24.0,22.0,21.0,22.0,20.0,,,22.0,22.25,2018
Northwestern,Big Ten,20.0,,,,,,,,,,,,,,,,,,,,,20.0,20.0,2018
Notre Dame,ACC,14.0,,12.0,5.0,8.0,18.0,,,,25.0,,,,,,,,,,,,13.0,13.571428571428571,2018
Ohio State,Big Ten,,,,,,,,,,,22.0,13.0,18.0,16.0,9.0,15.0,14.0,16.0,21.0,,,16.0,16.0,2018
Oklahoma,Big 12,,,,,,24.0,17.0,12.0,7.0,9.0,6.0,11.0,15.0,18.0,23.0,,,,,,,13.5,14.136363636363637,2018
Purdue,Big Ten,21.0,,16.0,,21.0,17.0,16.0,13.0,12.0,7.0,3.0,3.0,3.0,3.0,7.0,9.0,8.0,10.0,9.0,,,9.0,10.38888888888889,2018
Rhode Island,A-10,,,,,,,,,,,,23.0,21.0,19.0,14.0,18.0,16.0,24.0,,,,19.0,19.25,2018
Saint Mary's,WCC,22.0,,21.0,,,,,,,,,18.0,14.0,12.0,15.0,20.0,20.0,19.0,,,,19.0,18.0,2018
Seton Hall,Big East,23.0,,22.0,24.0,19.0,15.0,22.0,24.0,21.0,15.0,19.0,,,,,,,,,,,21.5,20.5,2018
TCU,Big 12,,,,,20.0,14.0,12.0,8.0,15.0,16.0,25.0,,,,,,,,,,,15.0,15.625,2018
Tennessee,SEC,,,,,,20.0,20.0,20.0,22.0,23.0,21.0,21.0,19.0,14.0,17.0,19.0,17.0,12.0,16.0,,,19.5,18.7,2018
Texas A&M,SEC,,,19.0,10.0,9.0,10.0,9.0,6.0,13.0,,,,,,,,,,24.0,,,10.0,12.22222222222222,2018
Texas Tech,Big 12,,,,22.0,,,21.0,21.0,18.0,8.0,8.0,14.0,10.0,7.0,6.0,7.0,12.0,13.0,6.0,,,11.0,12.266666666666667,2018
UCLA,Pac-12,18.0,,23.0,25.0,23.0,,,,,,,,,,,,,,,,,23.0,22.4,2018
UNC,ACC,9.0,,9.0,11.0,10.0,7.0,4.0,14.0,11.0,18.0,14.0,10.0,17.0,22.0,16.0,10.0,9.0,11.0,14.0,,,11.0,11.947368421052632,2018
USC,Pac-12,11.0,,10.0,18.0,25.0,,,,,,,,,,,,,,,,,14.5,15.7,2018
Villanova,Big East,6.0,,3.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,,,1.5,2.289473684210526,2018
Virginia,ACC,,,25.0,15.0,12.0,16.0,14.0,9.0,8.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,,,3.0,6.944444444444445,2018
West Virginia,Big 12,10.0,,20.0,19.0,16.0,11.0,10.0,7.0,5.0,2.0,7.0,7.0,11.0,17.0,20.0,21.0,19.0,18.0,13.0,,,12.0,12.894736842105264,2018
Wichita State,AAC,8.0,,6.0,8.0,6.0,3.0,11.0,10.0,9.0,5.0,4.0,16.0,16.0,21.0,18.0,12.0,11.0,14.0,25.0,,,10.5,11.236842105263158,2018
Xavier,Big East,17.0,,14.0,20.0,14.0,9.0,8.0,5.0,4.0,10.0,12.0,9.0,6.0,5.0,4.0,4.0,4.0,2.0,8.0,,,8.0,8.578947368421053,2018
Arizona State,Pac-12,,,,,20.0,20.0,19.0,17.0,,,,,,,,,,,,,,19.5,19.1,2019
Auburn,SEC,12.0,,9.0,10.0,9.0,8.0,7.0,11.0,13.0,10.0,12.0,15.0,,,,,,,24.0,18.0,,11.0,12.071428571428571,2019
Buffalo,MAC,,,25.0,20.0,18.0,15.0,15.0,22.0,20.0,20.0,17.0,14.0,17.0,25.0,24.0,24.0,23.0,20.0,16.0,16.0,,20.0,19.526315789473685,2019
Cincinnati,AAC,,,,,,,,,,,,,,23.0,,25.0,22.0,19.0,23.0,24.0,,23.0,22.714285714285715,2019
Clemson,ACC,23.0,,16.0,24.0,,,,,,,,,,,,,,,,,,23.0,21.5,2019
Duke,ACC,3.0,,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,,2.0,2.2,2019
Florida State,ACC,15.0,,13.0,14.0,11.0,10.0,12.0,9.0,9.0,13.0,11.0,23.0,,24.0,19.0,17.0,17.0,13.0,13.0,11.0,,13.0,14.052631578947368,2019
Furman,Southern,,,,,,,25.0,,,,,,,,,,,,,,,25.0,25.0,2019
Gonzaga,WCC,4.0,,3.0,1.0,1.0,6.0,9.0,8.0,8.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,,4.0,3.9,2019
Houston,AAC,,,,,,22.0,20.0,19.0,17.0,15.0,17.0,17.0,13.0,12.0,9.0,8.0,6.0,12.0,10.0,9.0,,13.0,13.6875,2019
Indiana,Big Ten,,,,,,,,25.0,22.0,24.0,25.0,,,,,,,,,,,24.5,24.1,2019
Iowa,Big Ten,,,22.0,15.0,19.0,21.0,21.0,21.0,20.0,25.0,24.0,21.0,25.0,20.0,17.0,19.0,21.0,,,,,21.0,20.75,2019
Iowa State,Big 12,,,,,,,,,,21.0,,25.0,20.0,16.0,22.0,20.0,,25.0,,23.0,,21.5,21.5,2019
Kansas,Big 12,1.0,,2.0,2.0,2.0,1.0,1.0,5.0,6.0,9.0,8.0,10.0,12.0,14.0,14.0,12.0,16.0,14.0,18.0,17.0,,9.0,8.65,2019
Kansas State,Big 12,11.0,,12.0,10.0,15.0,24.0,,,,,,,,,18.0,21.0,15.0,17.0,14.0,14.0,,15.0,15.5,2019
Kentucky,SEC,2.0,,10.0,9.0,8.0,18.0,18.0,15.0,14.0,18.0,14.0,9.0,6.0,5.0,5.0,4.0,4.0,6.0,4.0,7.0,,8.0,9.2,2019
LSU,SEC,,,21.0,,,,,,,,,,19.0,22.0,21.0,15.0,14.0,10.0,9.0,12.0,,15.0,15.8,2019
Louisville,ACC,,,,,,,,,,,,24.0,16.0,17.0,20.0,22.0,24.0,,,,,21.0,20.571428571428573,2019
Marquette,Big East,,,,,,,23.0,20.0,18.0,19.0,13.0,11.0,9.0,9.0,10.0,10.0,9.0,15.0,22.0,25.0,,14.0,15.133333333333333,2019
Maryland,Big Ten,,,,,23.0,23.0,24.0,,,,22.0,16.0,24.0,,25.0,25.0,20.0,24.0,21.0,,,23.0,22.5,2019
Michigan,Big Ten,18.0,,8.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,10.0,7.0,11.0,8.0,,6.0,6.8,2019
Michigan State,Big Ten,10.0,,11.0,8.0,10.0,9.0,8.0,7.0,7.0,5.0,6.0,5.0,8.0,11.0,12.0,11.0,8.0,11.0,7.0,6.0,,8.0,8.4,2019
Mississippi State,SEC,19.0,,15.0,25.0,22.0,17.0,16.0,17.0,16.0,14.0,23.0,22.0,21.0,21.0,,,,,,,,19.0,19.071428571428573,2019
NC State,ACC,,,,,,,,24.0,19.0,16.0,16.0,19.0,22.0,,,,,,,,,19.0,19.285714285714285,2019
Nebraska,Big Ten,25.0,,24.0,,25.0,25.0,22.0,23.0,23.0,,,,,,,,,,,,,24.0,23.875,2019
Nevada,MWC,9.0,,7.0,6.0,6.0,7.0,6.0,6.0,5.0,11.0,10.0,7.0,7.0,6.0,6.0,6.0,13.0,18.0,17.0,20.0,,7.0,9.0,2019
Ohio State,Big Ten,,,23.0,16.0,17.0,14.0,14.0,11.0,12.0,17.0,,,,,,,,,,,,15.0,15.444444444444445,2019
Oklahoma,Big 12,,,,,,,,,25.0,22.0,19.0,,,,,,,,,,,22.0,22.0,2019
Ole Miss,SEC,,,,,,,,,,,20.0,20.0,,,,,,,,,,20.0,20.0,2019
Oregon,Pac-12,16.0,,20.0,21.0,,,,,,,,,,,,,,,,,,20.0,19.25,2019
Purdue,Big Ten,22.0,,19.0,18.0,24.0,,,,,,,,18.0,15.0,11.0,13.0,12.0,9.0,12.0,13.0,,14.0,15.384615384615383,2019
St. John's (NY),Big East,,,,,,,,,,23.0,,,,,,,,,,,,23.0,23.0,2019
Syracuse,ACC,14.0,,,,,,,,,,,,,,,,,,,,,14.0,14.0,2019
TCU,Big 12,21.0,,18.0,,,,,,,,,,,,,,,,,,,19.5,19.5,2019
Tennessee,SEC,6.0,,5.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,7.0,4.0,8.0,5.0,,4.0,4.1,2019
Texas,Big 12,,,,17.0,,,,,,,,,,,,,,,,,,17.0,17.0,2019
Texas Tech,Big 12,,,,19.0,13.0,10.0,11.0,13.0,11.0,8.0,9.0,13.0,15.0,18.0,15.0,14.0,11.0,8.0,6.0,10.0,,11.0,11.944444444444445,2019
UCF,AAC,,,,,,,,,,,,,,,,,,,,,,,,2019
UCLA,Pac-12,20.0,,17.0,,,,,,,,,,,,,,,,,,,18.5,18.5,2019
UNC,ACC,7.0,,6.0,13.0,12.0,12.0,10.0,14.0,15.0,12.0,15.0,12.0,10.0,8.0,8.0,9.0,5.0,3.0,3.0,4.0,,10.0,9.4,2019
Utah State,MWC,,,,,,,,,,,,,,,,,,,,25.0,,25.0,25.0,2019
Villanova,Big East,8.0,,,23.0,21.0,16.0,,,,,21.0,18.0,14.0,13.0,13.0,16.0,,23.0,25.0,22.0,,18.0,17.928571428571427,2019
Virginia,ACC,5.0,,4.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,,3.0,2.75,2019
Virginia Tech,ACC,17.0,,14.0,12.0,14.0,13.0,13.0,10.0,10.0,7.0,7.0,8.0,11.0,10.0,16.0,18.0,19.0,16.0,15.0,15.0,,13.0,12.9,2019
Washington,Pac-12,24.0,,,,,,,,,,,,,,,,25.0,,,,,24.5,24.5,2019
West Virginia,Big 12,13.0,,,,,,,,,,,,,,,,,,,,,13.0,13.0,2019
Wisconsin,Big Ten,,,,22.0,16.0,19.0,17.0,16.0,23.0,,,,23.0,19.0,23.0,23.0,18.0,21.0,19.0,21.0,,20.0,20.0,2019
Wofford,Southern,,,,,,,,,,,,,,,,,25.0,22.0,20.0,19.0,,21.0,21.4,2019
Arizona,Pac-12,17.0,,14.0,14.0,14.0,14.0,17.0,24.0,24.0,24.0,,21.0,,23.0,,21.0,24.0,,,,,21.0,19.428571428571427,2020
Auburn,SEC,23.0,,18.0,17.0,17.0,10.0,9.0,8.0,7.0,5.0,4.0,16.0,16.0,10.0,11.0,12.0,15.0,15.0,17.0,20.0,,15.0,13.25,2020
BYU,WCC,,,,,,,,,,,,,,,,,18.0,15.0,16.0,16.0,,16.0,16.2,2020
Baylor,Big 12,18.0,,23.0,18.0,18.0,11.0,11.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,,4.0,7.0,2020
Butler,Big East,,,,,,19.0,16.0,11.0,10.0,6.0,5.0,12.0,17.0,19.0,20.0,23.0,,25.0,21.0,21.0,,18.0,16.2,2020
Colorado,Pac-12,,,25.0,24.0,24.0,23.0,,,,,21.0,,21.0,24.0,15.0,17.0,20.0,,,,,22.0,21.454545454545453,2020
Creighton,Big East,,,,,,,,,,,,,,22.0,21.0,15.0,11.0,14.0,9.0,9.0,,14.0,14.375,2020
Dayton,A-10,,,,,,12.0,12.0,18.0,18.0,15.0,11.0,7.0,7.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,,7.0,8.5,2020
Duke,ACC,4.0,,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,8.0,8.0,7.0,7.0,6.0,7.0,11.0,10.0,8.0,,5.0,5.1,2020
Florida,SEC,6.0,,,25.0,25.0,,,,,,,,,,,,,,,,,25.0,20.25,2020
Florida State,ACC,,,,,,21.0,19.0,17.0,20.0,10.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,4.0,5.0,,8.0,10.1875,2020
Gonzaga,WCC,7.0,,8.0,7.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,3.1,2020
Houston,AAC,,,,,,,,,,,,24.0,20.0,25.0,19.0,22.0,,21.0,24.0,23.0,,22.5,22.27777777777778,2020
Illinois,Big Ten,,,,,,,,,,,,22.0,19.0,21.0,23.0,,,22.0,22.0,22.0,,22.0,21.625,2020
Iowa,Big Ten,,,,,,,,,25.0,,24.0,19.0,18.0,17.0,17.0,20.0,17.0,18.0,25.0,25.0,,19.0,20.33333333333333,2020
Kansas,Big 12,3.0,,5.0,5.0,5.0,3.0,1.0,5.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,3.0,3.1,2020
Kentucky,SEC,2.0,,10.0,11.0,11.0,9.0,6.0,19.0,14.0,13.0,12.0,14.0,13.0,16.0,12.0,10.0,9.0,6.0,7.0,7.0,,11.0,10.6,2020
LSU,SEC,24.0,,,,,,,,,,,,24.0,18.0,,,,,,,,24.0,22.5,2020
Louisville,ACC,5.0,,2.0,2.0,2.0,1.0,5.0,4.0,8.0,11.0,10.0,5.0,5.0,5.0,5.0,11.0,10.0,10.0,14.0,13.0,,5.0,6.65,2020
Marquette,Big East,,,,,,,,,,,,,,,22.0,19.0,,,,,,20.5,20.5,2020
Maryland,Big Ten,8.0,,7.0,8.0,8.0,4.0,8.0,12.0,15.0,14.0,17.0,17.0,15.0,9.0,9.0,7.0,8.0,9.0,11.0,11.0,,9.0,10.3,2020
Memphis,AAC,15.0,,20.0,20.0,20.0,17.0,13.0,10.0,11.0,22.0,22.0,20.0,,,,,,,,,,20.0,17.5,2020
Michigan,Big Ten,,,,,,7.0,15.0,15.0,13.0,19.0,20.0,,,,,,22.0,,,,,15.0,15.75,2020
Michigan State,Big Ten,1.0,,3.0,3.0,3.0,15.0,18.0,16.0,16.0,8.0,14.0,9.0,14.0,14.0,25.0,25.0,24.0,17.0,12.0,12.0,,14.0,13.15,2020
Ohio State,Big Ten,16.0,,9.0,9.0,9.0,2.0,4.0,2.0,5.0,12.0,19.0,,,,,24.0,23.0,19.0,20.0,18.0,,12.0,12.6875,2020
Oregon,Pac-12,14.0,,11.0,10.0,10.0,13.0,10.0,7.0,6.0,9.0,8.0,13.0,12.0,15.0,18.0,16.0,16.0,13.0,13.0,14.0,,13.0,12.05,2020
Penn State,Big Ten,,,,,,,24.0,21.0,21.0,20.0,,,23.0,20.0,13.0,9.0,14.0,20.0,,,,20.0,18.63636363636364,2020
Purdue,Big Ten,22.0,,,,,,,,,,,,,,,,,,,,,22.0,22.0,2020
Rutgers,Big Ten,,,,,,,,,,,,25.0,25.0,,,,,,,,,25.0,25.0,2020
Saint Mary's,WCC,20.0,,,,,,,,,,,,,,,,,,,,,20.0,20.0,2020
San Diego State,MWC,,,,,,24.0,20.0,14.0,12.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,,6.0,8.1875,2020
Seton Hall,Big East,13.0,,13.0,13.0,13.0,22.0,,,,25.0,18.0,10.0,9.0,13.0,10.0,14.0,13.0,7.0,15.0,15.0,,13.0,13.882352941176473,2020
Stanford,Pac-12,,,,,,,,,,,25.0,,,,,,,,,,,25.0,25.0,2020
Tennessee,SEC,25.0,,17.0,16.0,16.0,17.0,21.0,,,,,,,,,,,,,,,17.0,18.428571428571427,2020
Texas,Big 12,,,22.0,,,,,,,,,,,,,,,,,,,22.0,22.0,2020
